sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 0 1 0x1d00 135 61.4 63.1 75.8 104.1 115.9 146.6 200166.5 200000 20.01 1078.08 5068103 777221795 12071101 963048054 102288634067.0 517610061055.0 8130679
linux_tuned 1 1 0x1d00 135 61.5 63.1 76.1 104.4 116.1 146.7 199973.6 200000 20.01 1077.61 5087909 778023425 12059439 961755288 102233102849.0 516424126674.0 8113476
linux_tuned 2 1 0x1d00 135 61.3 62.9 75.9 104.4 116.5 146.7 199835.4 200000 20.01 1077.47 5070898 777144040 12051509 963185858 102192371530.0 516674620090.0 8104857
linux_tuned 0 1 0x1d00 135 67.0 71.8 110.1 233.0 316.2 690.0 399884.4 400000 20.01 1207.49 8424461 1442145238 23855816 1921632344 166677352988.0 798404908460.0 13120085
linux_tuned 1 1 0x1d00 135 66.7 71.6 109.7 229.6 309.1 661.9 399690.3 400000 20.01 1207.47 8421477 1441114470 23848248 1921865181 166558233236.0 798042725749.0 13124363
linux_tuned 2 1 0x1d00 135 66.5 71.6 110.0 230.3 315.3 692.3 400131.3 400000 20.01 1207.73 8424611 1439739747 23868513 1917836613 166632169809.0 797341737894.0 13120753
linux_tuned 0 1 0x1d00 135 174.2 261.0 825.7 2252.8 3197.4 5435.6 599525.8 600000 20.01 1241.86 12302540 2125327702 30307636 2786581299 196893666906.0 880043242097.0 15979569
linux_tuned 1 1 0x1d00 135 173.3 257.9 814.3 2246.8 3177.6 5178.4 599584.2 600000 20.01 1247.75 12309465 2127312023 30318936 2794163097 196946366281.0 880396704624.0 15987197
linux_tuned 2 1 0x1d00 135 174.5 256.7 817.4 2249.2 3208.5 5206.6 599889.4 600000 20.01 1237.31 12299836 2124698459 30323587 2785925532 197208611547.0 880059790338.0 15983753
sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 0 1 0x1d00 135 61.1 62.5 75.1 102.6 114.7 143.4 200034.2 200000 20.01 1041.01 5080198 777496045 12063414 959266768 102042653491.0 513202749892.0 8127228
linux_tuned 1 1 0x1d00 135 61.3 62.8 75.6 103.5 115.3 146.5 199881.4 200000 20.01 1077.4 5079785 777924650 12055157 960796762 102566515628.0 513661713636.0 8114227
linux_tuned 2 1 0x1d00 135 61.0 62.4 75.1 102.4 114.0 145.4 200064.6 200000 20.01 1077.93 5083886 778113024 12065834 964866221 102560744021.0 514658187943.0 8128154
linux_tuned 0 1 0x1d00 135 66.2 71.2 109.5 231.0 312.0 686.6 399859.8 400000 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0
sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 0 1 0x1d00 135 61.3 62.8 75.8 104.1 115.9 147.5 199961.5 200000 20.01 1078.39 5073407 777739142 12060001 966035875 102145332402.0 517472753160.0 8098769
linux_tuned 1 1 0x1d00 135 61.2 62.7 75.5 104.1 115.8 146.7 199956.0 200000 20.01 1078.06 5068227 777030513 12058034 957720982 102152273794.0 517396685464.0 8118386
linux_tuned 2 1 0x1d00 135 61.1 62.6 75.4 103.8 115.3 144.5 200196.4 200000 20.01 1078.71 5079239 778659871 12073676 962668711 102269525894.0 517427418156.0 8122410
linux_tuned 0 1 0x1d00 135 66.0 71.0 109.3 235.7 312.6 676.7 399874.5 400000 20.01 1208.3 8426148 1441774219 23856921 1925646516 166394230398.0 797283526107.0 13123368
linux_tuned 1 1 0x1d00 135 66.0 71.2 110.2 230.0 311.9 674.5 399990.3 400000 20.01 1208.15 8423484 1441837771 23863916 1920513264 166581453655.0 799305518250.0 13138965
linux_tuned 2 1 0x1d00 135 66.4 71.4 110.5 231.7 307.9 671.5 399941.5 400000 20.01 1208.2 8433951 1441680986 23860724 1922726299 166595795470.0 799045719198.0 13141751
linux_tuned 0 1 0x1d00 135 178.2 265.1 834.5 2270.8 3136.2 5259.7 600135.8 600000 20.01 1245.75 12317419 2128784145 30288273 2795593043 196763100748.0 879942624451.0 15989625
linux_tuned 1 1 0x1d00 135 179.9 266.3 831.9 2250.5 3152.6 5356.4 599909.9 600000 20.01 1240.16 12303852 2126026070 30269667 2780091478 196410529565.0 878790406572.0 15983027
linux_tuned 2 1 0x1d00 135 184.6 270.5 848.1 2293.9 3180.5 5270.9 599950.2 600000 20.01 1247.69 12314133 2128309861 30232297 2788735077 196599249215.0 880428770533.0 15986974
